Student_ID,Name,Program,Year,Email
S1000,Nathan Smith,Computer Science,3rd,costajessica@example.net
S1001,James Hickman,Business Analytics,3rd,april87@example.net
S1002,Thomas Waters,Data Science,4th,cassandraperez@example.com
S1003,Adrian Ponce,Data Science,4th,thernandez@example.com
S1004,Daniel Martinez,Computer Science,1st,freemanjerome@example.org
S1005,Megan Steele,Computer Science,2nd,brenda79@example.com
S1006,Evan Maxwell,Computer Science,2nd,smithdavid@example.org
S1007,Stephanie Stevens MD,Business Analytics,2nd,jacqueline89@example.com
S1008,Donald Downs,Engineering,2nd,oboyd@example.org
S1009,Austin Thompson,Business Analytics,4th,molinadustin@example.com
S1010,Michael Wagner,Engineering,1st,baxtercindy@example.org
S1011,Heather Smith,Business Analytics,4th,kingandrea@example.org
S1012,Stephen Thompson,Business Analytics,3rd,marissa44@example.net
S1013,Brett Ryan,Data Science,4th,ijoyce@example.net
S1014,Michelle Garcia,Business Analytics,2nd,petercruz@example.org
S1015,Christopher Smith,Engineering,1st,yedwards@example.com
S1016,Wesley Reid,Business Analytics,3rd,usmith@example.net
S1017,Karen Rangel,Computer Science,3rd,natalie72@example.net
S1018,Dustin Garcia,Business Analytics,1st,grossjessica@example.com
S1019,Shane Martinez,Computer Science,3rd,jeffersoncarl@example.org
S1020,Lauren Phillips,Computer Science,4th,lawrenceteresa@example.com
S1021,Todd Smith,Computer Science,4th,jpatterson@example.net
S1022,Edward Macias,Engineering,3rd,rtorres@example.net
S1023,Francisco Todd,Engineering,2nd,jasonlam@example.net
S1024,Monica Novak,Data Science,3rd,nancy97@example.org
S1025,Autumn Hickman,Data Science,2nd,nancyhurley@example.net
S1026,Louis Sandoval,Computer Science,1st,williamsjames@example.net
S1027,Richard Wilson,Engineering,2nd,pughanna@example.com
S1028,Chelsea White,Business Analytics,3rd,ujohnson@example.net
S1029,William Malone,Engineering,4th,ronniestewart@example.com
S1030,Matthew Hartman,Data Science,1st,williamschris@example.org
S1031,Jose Hunter,Business Analytics,2nd,brendanwade@example.org
S1032,Angela Cook,Business Analytics,4th,stephenholland@example.com
S1033,David Odonnell,Business Analytics,4th,davidsonjacob@example.com
S1034,April Whitney,Computer Science,4th,kimcarly@example.org
S1035,Cynthia Anderson,Engineering,2nd,jilliangreene@example.org
S1036,Jennifer Webb,Engineering,3rd,ebrown@example.org
S1037,Kelly Johnson,Computer Science,1st,vmoss@example.org
S1038,Bobby Beltran,Business Analytics,4th,jasonblack@example.net
S1039,William Snyder,Business Analytics,4th,scott28@example.com
S1040,Kristi Bond,Computer Science,4th,solisdiane@example.com
S1041,Judith Zhang,Business Analytics,2nd,eric58@example.net
S1042,Jamie Cooper,Engineering,3rd,douglasmartinez@example.net
S1043,Joshua Brown,Engineering,2nd,pmorales@example.net
S1044,Cynthia Berry,Business Analytics,2nd,kennethwilkins@example.org
S1045,Rachel Weber,Data Science,2nd,kevinbecker@example.org
S1046,Roger Hill DVM,Engineering,3rd,xortiz@example.com
S1047,Mark Gutierrez Jr.,Business Analytics,3rd,jodi00@example.org
S1048,Daniel Castro,Engineering,3rd,robert16@example.com
S1049,Peter Moreno,Engineering,4th,rowens@example.net
S1050,Alexander Lewis,Data Science,1st,coxstephen@example.org
S1051,Mr. Joseph Ford,Computer Science,2nd,hansonsusan@example.com
S1052,Pamela Romero,Engineering,4th,virginiawilliams@example.com
S1053,Rebecca Martinez,Computer Science,3rd,robertamurray@example.com
S1054,Stephanie Alvarez,Computer Science,1st,donna08@example.org
S1055,Randy Aguilar,Computer Science,1st,kevinroy@example.com
S1056,William Mendoza,Data Science,3rd,evan79@example.org
S1057,Jerry Cox MD,Engineering,3rd,harrelldana@example.org
S1058,Jacob Stewart,Business Analytics,3rd,brittany58@example.net
S1059,Erin Wilkins,Computer Science,2nd,christinaanderson@example.org
S1060,Brooke Lynch,Business Analytics,3rd,hwilliams@example.net
S1061,Robert Ramos,Business Analytics,2nd,nicolepierce@example.org
S1062,Ms. Rachel Fitzpatrick,Data Science,4th,patriciaphillips@example.net
S1063,Mark Cunningham,Data Science,1st,kevindavis@example.net
S1064,Matthew Stevens,Computer Science,1st,taylor69@example.org
S1065,Laura Beasley,Business Analytics,1st,edwardterrell@example.org
S1066,Jeffrey Lewis,Business Analytics,1st,vrivers@example.net
S1067,Misty Nash,Computer Science,2nd,ybrown@example.net
S1068,Susan Ellison,Data Science,2nd,hoffmankathleen@example.org
S1069,Vanessa Gonzalez,Data Science,2nd,tracy18@example.org
S1070,Amber Cohen,Computer Science,4th,fbass@example.org
S1071,Charles Baxter,Data Science,3rd,adamschneider@example.com
S1072,Martin Fuentes,Business Analytics,1st,valeriejones@example.net
S1073,Brian Clark,Data Science,2nd,simpsonjeanette@example.org
S1074,Paul Hernandez,Engineering,3rd,alfredfisher@example.org
S1075,William Garcia,Computer Science,2nd,darrell70@example.net
S1076,Anthony Bolton,Computer Science,4th,adamwolfe@example.org
S1077,Robert Harris,Data Science,4th,tpruitt@example.net
S1078,Jodi Miller,Computer Science,1st,amanda02@example.org
S1079,Laurie Gonzalez,Computer Science,2nd,gregorybest@example.net
S1080,Tiffany Fischer,Data Science,3rd,daniel51@example.org
S1081,Elizabeth Tran,Business Analytics,3rd,stephen31@example.org
S1082,Steven Rodriguez,Computer Science,2nd,staylor@example.net
S1083,Brett White,Business Analytics,3rd,wjohnson@example.net
S1084,Ruben Hill,Computer Science,1st,mark06@example.com
S1085,Maria Ware,Business Analytics,3rd,zkemp@example.net
S1086,Michelle Chandler,Engineering,4th,lisahill@example.net
S1087,Victoria Gibson,Business Analytics,3rd,juan25@example.com
S1088,Jason Ochoa,Engineering,2nd,jason03@example.org
S1089,Richard Green,Engineering,3rd,raymond11@example.org
S1090,Robert Browning,Data Science,4th,kentkelly@example.com
S1091,Jeffrey Marshall DDS,Business Analytics,1st,vmartin@example.net
S1092,Jennifer Griffin,Business Analytics,4th,ginajohnson@example.org
S1093,Troy Evans,Data Science,3rd,williamsjade@example.org
S1094,Steven Mayo,Computer Science,1st,meganwood@example.org
S1095,Timothy Callahan,Data Science,3rd,angela86@example.net
S1096,Cesar Beasley,Data Science,1st,hunter77@example.org
S1097,Carlos Montgomery DVM,Computer Science,1st,georgepayne@example.org
S1098,Carla Rodriguez,Business Analytics,3rd,rodriguezpatrick@example.com
